bsn,name,schulform_nummer,schulform_name,bezirk_nummer,bezirk_name,plz,adresse,lon,lat,n_schueler,n_bestanden,pct_bestanden,pct_fail,abischnitt
01A04,Berlin-Kolleg,5,"Kollegs, Abendgymnasien",1,Mitte,10551,Turmstr. 75,13.3346884,52.5263851,61,56,91.8,8.200000000000003,2.3375
01B01,OSZ Banken  Immobilien und Versicherungen,1,berufliche Schulen,1,Mitte,10557,Alt-Moabit 10,13.3591805,52.5240235,28,21,75,25,2.57142857142857
01B03,OSZ Kommunikations-  Informations- und Medientechnik,1,berufliche Schulen,1,Mitte,13359,Osloer Str. 23-26,13.3796433,52.5571794,42,41,97.62,2.3799999999999955,2.68536585365854
01K03,Ernst-Reuter-Schule,3,ISS/Gemeinschaftsschulen,1,Mitte,13355,Stralsunder Str. 57,13.3934578,52.5391878,48,31,64.58,35.42,2.89032258064516
01K04,Heinrich-von-Stephan-Gemeinschaftsschule,3,ISS/Gemeinschaftsschulen,1,Mitte,10553,Neues Ufer 6,13.3165543,52.5247654,50,45,90,10,2.66666666666667
01K10,Theodor-Heuss-Gemeinschaftsschule,3,ISS/Gemeinschaftsschulen,1,Mitte,10559,Quitzowstr. 141,13.3538373,52.5354154,69,54,78.26,21.739999999999995,2.77407407407407
01P06,Canisius-Kolleg,4,Schulen in privater Trägerschaft,1,Mitte,10785,Tiergartenstr. 30-31,13.3547316,52.50930109999999,100,99,99,1,1.86666666666667
01P18,Bilinguale Schule Phorms Berlin Mitte,4,Schulen in privater Trägerschaft,1,Mitte,13355,Ackerstr. 76,13.3845491,52.538635,44,44,100,0,2.08636363636364
01P22,Berlin Cosmopolitan School,4,Schulen in privater Trägerschaft,1,Mitte,10119,Rückerstr. 9,13.4066203,52.5277684,30,30,100,0,1.73
01P23,Evangelische Schule Berlin Zentrum (Gemeinschaftsschule),4,Schulen in privater Trägerschaft,1,Mitte,10179,Wallstr. 32,13.4096857,52.5117473,106,106,100,0,1.9877358490566
01Y02,John-Lennon-Gymnasium,2,Gymnasien,1,Mitte,10119,Zehdenicker Str. 17,13.4042846,52.53079959999999,119,118,99.16,0.8400000000000034,1.96101694915254
01Y04,Musikgymnasium Carl Philipp Emanuel Bach,2,Gymnasien,1,Mitte,10115,Rheinsberger Str. 4-5,13.396638,52.536486,21,21,100,0,2.03809523809524
01Y07,Französisches Gymnasium,2,Gymnasien,1,Mitte,10785,Derfflingerstr. 7,13.3555794,52.5033828,47,46,97.87,2.1299999999999955,1.71521739130435
01Y08,Lessing-Gymnasium,2,Gymnasien,1,Mitte,13349,Schöningstr. 17,13.3438462,52.5573166,105,95,90.48,9.519999999999996,2.54
01Y09,Diesterweg-Gymnasium,2,Gymnasien,1,Mitte,13357,Böttgerstr. 2-6,13.3785358,52.5501375,56,49,87.5,12.5,2.7530612244898
